transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,revenue
1,642,Troy Mitchell,108,15000.0,mixer grinder,Home Appliances,offline,Bangalore,2025-12-06,3,UPI,0.1,Tro****,XXXXXX6968,successful,45000.0
2,881,Sarah Guerrero,102,70000.0,phone,ELEC,online,Bangalore,2025-07-21,5,Card,0.35,Sar****,XXXXXX8911,successful,350000.0
3,505,Samantha Hull,109,65000.0,refrigerator,Home Appliances,offline,Chennai,2025-07-11,2,UPI,0.05,Sam****,XXXXXX1565,successful,130000.0
4,794,Gerald Cooper,106,80000.0,sofa,FURN,offline,Chennai,2025-10-06,2,UPI,0.05,Ger****,XXXXXX4201,successful,160000.0
5,864,Cameron Black,108,15000.0,mixer grinder,home appliances,offline,Chennai,2025-12-12,1,Cash,0.05,Cam****,XXXXXX9477,successful,15000.0
6,181,Maria Robinson,101,250000.0,laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,Mar****,XXXXXX2717,successful,1250000.0
6,181,Maria Robinson,101,250000.0,laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,Mar****,XXXXXX2717,failed,1250000.0
7,142,Charles Brown,101,250000.0,laptop,ELEC,online,Hyderabad,2026-03-03,2,UPI,0.05,Cha****,XXXXXX6322,successful,500000.0
8,457,Cathy Harris,102,70000.0,phone,Electronics,online,Hyderabad,2026-02-19,1,Card,0.05,Cat****,XXXXXX7576,successful,70000.0
9,749,Linda Lara,110,64281.60052049447,microwave,home appliances,offline,Mumbai,2025-08-30,3,Card,0.3,Lin****,XXXXXX4201,successful,192844.80156148341
10,146,Jose Thomas,102,70000.0,phone,electronics,offline,Bangalore,2025-12-16,2,UPI,0.4,Jos****,XXXXXX9963,successful,140000.0
11,946,Lisa Cochran,104,8000.0,shoes,CLOTH,offline,Delhi,2025-12-15,4,Card,0.3,Lis****,XXXXXX0319,successful,32000.0
12,757,Yvette Clark,106,80000.0,sofa,FURN,online,Hyderabad,2025-06-30,3,UPI,0.25,Yve****,XXXXXX6334,successful,240000.0
13,838,Susan Torres,109,65000.0,refrigerator,home appliances,offline,Chennai,2025-06-14,5,Cash,0.35,Sus****,XXXXXX6426,successful,325000.0
14,117,Brent Clark,109,65000.0,refrigerator,home appliances,offline,Delhi,2026-02-24,5,Card,0.2,Bre****,XXXXXX7598,successful,325000.0
15,923,George Wilkinson,109,65000.0,refrigerator,home appliances,online,Mumbai,2026-01-31,5,UPI,0.25,Geo****,XXXXXX9222,successful,325000.0
16,765,Eric Gaines,104,8000.0,shoes,clothing,offline,Bangalore,2025-08-20,5,NetBanking,0.15,Eri****,XXXXXX1327,successful,40000.0
17,570,Donald Carter,102,64281.60052049447,phone,ELEC,offline,Chennai,2025-05-19,3,NetBanking,0.15,Don****,XXXXXX0219,successful,192844.80156148341
18,973,Allen Gilbert,108,15000.0,mixer grinder,home appliances,offline,Mumbai,2025-05-15,2,Card,0.15,All****,XXXXXX9731,successful,30000.0
19,786,Jeremiah Simmons,103,64281.60052049447,shirt,Clothing,offline,Chennai,2025-09-07,4,Cash,0.2,Jer****,XXXXXX5116,successful,257126.40208197787
20,576,Angela Weiss,104,8000.0,shoes,clothing,online,Delhi,2025-07-05,1,Card,0.15,Ang****,XXXXXX3539,successful,8000.0
21,256,Nicole Williams,109,65000.0,refrigerator,Home Appliances,online,Chennai,2025-12-10,3,UPI,0.05,Nic****,XXXXXX1732,successful,195000.0
22,737,Kimberly Lloyd,109,65000.0,refrigerator,Home Appliances,online,Delhi,2025-03-11,4,UPI,0.4,Kim****,XXXXXX2093,successful,260000.0
23,104,Amanda Castillo,108,64281.60052049447,mixer grinder,home appliances,online,Hyderabad,2026-04-15,2,UPI,0.25,Ama****,XXXXXX9548,successful,128563.20104098893
24,799,Stephanie Dunn,108,15000.0,mixer grinder,home appliances,offline,Delhi,2025-05-16,3,Cash,0.25,Ste****,XXXXXX0744,successful,45000.0
25,249,Alyssa Henderson,102,70000.0,phone,electronics,online,Bangalore,2025-08-29,1,Card,0.3,Aly****,XXXXXX5109,successful,70000.0
26,149,Ashley Mejia,106,80000.0,sofa,FURN,offline,Chennai,2026-01-28,1,Cash,0.05,Ash****,XXXXXX6443,successful,80000.0
27,927,Bradley Sparks,105,45000.0,tv,Electronics,offline,Chennai,2025-11-13,5,UPI,0.2,Bra****,XXXXXX0514,successful,225000.0
28,868,Timothy Henderson,107,50000.0,dining table,furniture,offline,Hyderabad,2025-11-12,1,Card,0.3,Tim****,XXXXXX8386,successful,50000.0
29,1,Karen Pollard,109,65000.0,refrigerator,home appliances,online,Hyderabad,2025-06-28,2,Card,0.3,Kar****,XXXXXX6363,successful,130000.0
30,980,Alexis Andrews,106,80000.0,sofa,Furniture,online,Delhi,2025-07-10,5,Card,0.05,Ale****,XXXXXX3841,successful,400000.0
31,455,Morgan Wright,107,50000.0,dining table,furniture,offline,Bangalore,2025-06-03,4,NetBanking,0.3,Mor****,XXXXXX4087,successful,200000.0
32,367,Joshua Tate,105,45000.0,tv,electronics,offline,Delhi,2025-11-14,4,Cash,0.4,Jos****,XXXXXX3716,successful,180000.0
34,968,Keith Davis,107,50000.0,dining table,FURN,offline,Hyderabad,2025-11-09,4,Cash,0.15,Kei****,XXXXXX4512,successful,200000.0
35,390,Erika Knight,110,45000.0,microwave,HOME,online,Mumbai,2025-05-25,2,Card,0.1,Eri****,XXXXXX7025,successful,90000.0
36,528,Kerri Rodriguez,102,70000.0,phone,Electronics,offline,Chennai,2025-07-19,2,NetBanking,0.1,Ker****,XXXXXX0493,successful,140000.0
37,46,Mallory Boyd,103,1300.0,shirt,clothing,offline,Delhi,2026-01-07,3,UPI,0.1,Mal****,XXXXXX2449,successful,3900.0
38,437,Carrie Landry,104,8000.0,shoes,Clothing,offline,Delhi,2026-01-21,1,Cash,0.25,Car****,XXXXXX2206,successful,8000.0
39,234,Kristin Taylor,104,8000.0,shoes,Clothing,offline,Delhi,2025-12-01,1,Cash,0.1,Kri****,XXXXXX3410,successful,8000.0
40,391,Catherine Beard,103,1300.0,shirt,CLOTH,offline,Mumbai,2026-08-03,2,NetBanking,0.3,Cat****,XXXXXX7305,successful,2600.0
